Dataset Name,Text File 1,Dataset Name 2,Text File 2,Similarity Score
batch2,6-1-6b_line_9874_5,batch2,6-1-7a_line_9874_0,0.25625
batch2,6-1-6b_line_9874_5,batch2,6-1-7a_line_9874_1,0.23125
batch2,6-1-6b_line_9874_5,batch2,6-1-7a_line_9874_5,0.2125
batch2,6-1-6b_line_9874_5,batch2,6-1-7a_line_9874_2,0.42592592592592593
batch2,6-1-6b_line_9874_5,batch2,6-1-6b_line_9874_4,0.21875
batch2,6-1-6b_line_9874_5,batch2,6-1-6b_line_9874_3,0.43125
batch2,6-1-6b_line_9874_5,batch2,6-1-7a_line_9874_4,0.2375
batch2,6-1-6b_line_9874_5,batch2,6-1-6b_line_9874_6,0.3375
batch2,6-1-6b_line_9874_5,batch2,6-1-7a_line_9874_3,0.21875
batch2,6-1-6b_line_9874_5,batch3,11-1-164b_line_9874_1,0.25
batch2,6-1-6b_line_9874_5,batch3,11-1-164b_line_9874_4,0.26875
batch2,6-1-6b_line_9874_5,batch3,11-1-164a_line_9874_5,0.225
batch2,6-1-6b_line_9874_5,batch3,11-1-164b_line_9874_2,0.25
batch2,6-1-6b_line_9874_5,batch3,11-1-164b_line_9874_5,0.2125
batch2,6-1-6b_line_9874_5,batch3,11-1-164a_line_9874_6,0.2375
batch2,6-1-6b_line_9874_5,batch3,11-1-164b_line_9874_6,0.25
batch2,6-1-6b_line_9874_5,batch3,11-1-165a_line_9874_0,0.24375
batch2,6-1-6b_line_9874_5,batch3,11-1-164b_line_9874_0,0.23125
batch2,6-1-6b_line_9874_5,batch3,11-1-164b_line_9874_3,0.25625
batch2,6-1-6b_line_9874_5,batch1,1-1-4a_line_9874_6,0.2375
batch2,6-1-6b_line_9874_5,batch1,1-1-4a_line_9874_2,0.23204419889502761
batch2,6-1-6b_line_9874_5,batch1,1-1-4a_line_9874_4,0.21818181818181817
batch2,6-1-6b_line_9874_5,batch1,1-1-4b_line_9874_3,0.24260355029585798
batch2,6-1-6b_line_9874_5,batch1,1-1-4b_line_9874_1,0.24561403508771928
batch2,6-1-6b_line_9874_5,batch1,1-1-4a_line_9874_3,0.23125
batch2,6-1-6b_line_9874_5,batch1,1-1-4a_line_9874_1,0.2411764705882353
batch2,6-1-6b_line_9874_5,batch1,1-1-4a_line_9874_5,0.21875
batch2,6-1-6b_line_9874_5,batch1,1-1-4b_line_9874_0,0.24539877300613497
batch2,6-1-6b_line_9874_5,batch1,1-1-4b_line_9874_2,0.2568306010928962
batch2,6-1-7a_line_9874_0,batch2,6-1-6b_line_9874_5,0.25625
batch2,6-1-7a_line_9874_0,batch2,6-1-7a_line_9874_1,0.3096774193548387
batch2,6-1-7a_line_9874_0,batch2,6-1-7a_line_9874_5,0.2893081761006289
batch2,6-1-7a_line_9874_0,batch2,6-1-7a_line_9874_2,0.3765432098765432
batch2,6-1-7a_line_9874_0,batch2,6-1-6b_line_9874_4,0.24528301886792453
batch2,6-1-7a_line_9874_0,batch2,6-1-6b_line_9874_3,0.2549019607843137
